File created by python code using SuperMAGGetIndices

============================================================
<year>  <month>  <day>  <hour>  <min>  <sec>  <SME (nT)>  <SML (nT)>  <SMU (nT)>
2023  07  07  00  00  00   584.41  -280.40   304.01
2023  07  07  00  01  00   602.03  -285.53   316.50
2023  07  07  00  02  00   621.72  -296.43   325.29
2023  07  07  00  03  00   638.12  -309.29   328.83
2023  07  07  00  04  00   640.78  -307.44   333.34
2023  07  07  00  05  00   642.70  -310.37   332.33
2023  07  07  00  06  00   642.65  -306.79   335.86
2023  07  07  00  07  00   641.00  -298.71   342.29
2023  07  07  00  08  00   660.36  -313.99   346.37
2023  07  07  00  09  00   672.76  -322.43   350.33
2023  07  07  00  10  00   667.72  -318.91   348.81
2023  07  07  00  11  00   659.14  -315.80   343.34
2023  07  07  00  12  00   650.71  -314.93   335.78
2023  07  07  00  13  00   643.66  -313.68   329.98
2023  07  07  00  14  00   635.04  -311.24   323.80
2023  07  07  00  15  00   626.75  -308.68   318.07
2023  07  07  00  16  00   628.71  -307.77   320.93
2023  07  07  00  17  00   631.16  -306.29   324.87
2023  07  07  00  18  00   637.51  -310.82   326.68
2023  07  07  00  19  00   649.62  -318.76   330.86
2023  07  07  00  20  00   656.30  -328.50   327.79
2023  07  07  00  21  00   638.02  -316.91   321.11
2023  07  07  00  22  00   624.61  -301.68   322.93
2023  07  07  00  23  00   611.21  -288.04   323.17
2023  07  07  00  24  00   600.05  -277.99   322.06
2023  07  07  00  25  00   599.27  -277.26   322.01
2023  07  07  00  26  00   602.84  -287.79   315.05
2023  07  07  00  27  00   610.89  -298.59   312.30
2023  07  07  00  28  00   615.65  -305.47   310.18
2023  07  07  00  29  00   618.86  -312.58   306.28
2023  07  07  00  30  00   609.72  -308.11   301.62
2023  07  07  00  31  00   592.01  -299.02   292.99
2023  07  07  00  32  00   579.43  -290.15   289.28
2023  07  07  00  33  00   569.99  -284.52   285.46
2023  07  07  00  34  00   559.94  -283.14   276.80
2023  07  07  00  35  00   555.46  -296.65   258.81
2023  07  07  00  36  00   564.16  -309.12   255.04
2023  07  07  00  37  00   564.34  -306.25   258.09
2023  07  07  00  38  00   542.83  -284.99   257.84
2023  07  07  00  39  00   541.67  -280.15   261.51
2023  07  07  00  40  00   539.10  -277.65   261.45
2023  07  07  00  41  00   519.04  -266.38   252.67
2023  07  07  00  42  00   495.41  -253.06   242.34
2023  07  07  00  43  00   487.56  -249.90   237.66
2023  07  07  00  44  00   483.94  -246.37   237.56
2023  07  07  00  45  00   483.87  -248.62   235.24
2023  07  07  00  46  00   474.82  -245.51   229.31
2023  07  07  00  47  00   458.67  -233.90   224.77
2023  07  07  00  48  00   451.44  -227.19   224.24
2023  07  07  00  49  00   447.13  -227.45   219.68
2023  07  07  00  50  00   433.07  -223.56   209.51
2023  07  07  00  51  00   405.79  -212.98   192.81
2023  07  07  00  52  00   393.11  -214.42   178.70
2023  07  07  00  53  00   389.87  -220.46   169.41
2023  07  07  00  54  00   376.64  -218.60   158.04
2023  07  07  00  55  00   370.99  -215.77   155.21
2023  07  07  00  56  00   368.87  -209.19   159.67
2023  07  07  00  57  00   335.26  -176.44   158.82
2023  07  07  00  58  00   316.34  -162.63   153.71
2023  07  07  00  59  00   310.13  -160.97   149.16
2023  07  07  01  00  00   302.56  -152.44   150.11
2023  07  07  01  01  00   311.82  -161.40   150.42
2023  07  07  01  02  00   325.09  -176.62   148.46
2023  07  07  01  03  00   328.06  -180.23   147.83
2023  07  07  01  04  00   321.16  -174.97   146.19
2023  07  07  01  05  00   312.42  -166.68   145.74
2023  07  07  01  06  00   314.83  -160.61   154.23
2023  07  07  01  07  00   308.99  -151.85   157.13
2023  07  07  01  08  00   298.38  -148.53   149.85
2023  07  07  01  09  00   300.51  -149.69   150.82
2023  07  07  01  10  00   290.62  -143.35   147.27
2023  07  07  01  11  00   295.51  -145.84   149.67
2023  07  07  01  12  00   298.11  -143.74   154.36
2023  07  07  01  13  00   309.91  -154.31   155.60
2023  07  07  01  14  00   311.28  -156.49   154.78
2023  07  07  01  15  00   301.56  -151.95   149.61
2023  07  07  01  16  00   287.72  -142.68   145.04
2023  07  07  01  17  00   278.62  -137.62   141.00
2023  07  07  01  18  00   267.27  -129.57   137.70
2023  07  07  01  19  00   259.22  -120.43   138.79
2023  07  07  01  20  00   256.26  -115.46   140.80
2023  07  07  01  21  00   245.41  -106.74   138.67
2023  07  07  01  22  00   247.62  -105.98   141.64
2023  07  07  01  23  00   270.66  -112.82   157.84
