GITM2 log file
## Inputs from UAM.in
# Resart= F
# Eddy coef:    50.000 Eddy P0:     0.010 Eddy P1:     0.005
# Statistical Models Only:  F Apex:  T
# EUV Data:  TFile: 
UA/DataIn/FISM/fismflux_daily_2023.dat                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# AMIE: none           
none                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
# Solar Heating:  T Joule Heating:  T Auroral Heating:  T
# NO Cooling:  T O Cooling:  T
# Conduction:  T Turbulent Conduction:  T
# Pressure Grad:  T Ion Drag:  T Neutral Drag:  T
# Viscosity:  T Coriolis:  T Gravity:  T
# Ion Chemistry:  T Ion Advection:  T Neutral Chemistry:  T
 
#START
   iStep yyyy mm dd hh mm ss  ms      dt min(T) max(T) mean(T) min(VV) max(VV) mean(VV) F107 F107A By Bz Vx HP HPn HPs SubsolarLon SubsolarLat SubsolarVTEC
       2 2023  7  7  0  0  4  79  4.0795    159.04596   1325.54766   1004.57357     -7.42984     11.27653     -0.24040    166.8    172.6     -3.6      6.2    433.7     68.7    157.6    183.4   3.14130   0.39509  41.30104
       3 2023  7  7  0  0  8  54  3.9746    159.38917   1325.45506   1004.63585     -8.33920     11.88469     -0.38729    166.8    172.6     -3.6      6.2    433.7     68.8    157.6    183.4   3.14101   0.39509  41.33559
       4 2023  7  7  0  0 11 880  3.8267    159.52885   1325.38483   1004.70603     -7.32989      9.39605     -0.57246    166.8    172.6     -3.7      6.2    433.7     68.9    157.6    183.4   3.14073   0.39509  41.39247
       5 2023  7  7  0  0 15 865  3.9852    159.42126   1325.30739   1004.78595     -8.29760      9.77706     -0.74920    166.8    172.6     -3.7      6.2    433.7     69.0    157.6    183.4   3.14044   0.39509  41.45787
       6 2023  7  7  0  0 19 817  3.9520    159.13693   1325.22308   1004.86823     -9.22730     10.08185     -0.87622    166.8    172.6     -3.8      6.2    433.7     69.2    157.6    183.4   3.14015   0.39509  41.50538
       7 2023  7  7  0  0 23 769  3.9511    158.83943   1325.13297   1004.95309     -9.79342     11.15115     -0.95991    166.8    172.6     -3.9      6.2    433.7     69.3    157.6    183.4   3.13986   0.39509  41.55393
       8 2023  7  7  0  0 27 701  3.9329    158.77606   1325.03778   1005.03910    -10.69112     12.12794     -1.04946    166.8    172.6     -3.9      6.2    433.7     69.4    157.6    183.4   3.13958   0.39509  41.57974
       9 2023  7  7  0  0 31 640  3.9389    158.80102   1324.93874   1005.12628    -11.94874     12.46844     -1.16512    166.8    172.6     -4.0      6.2    433.7     69.5    157.6    183.4   3.13929   0.39509  41.61205
      10 2023  7  7  0  0 35 595  3.9543    158.82214   1324.85918   1005.21461    -12.57770     14.08664     -1.31411    166.8    172.6     -4.0      6.2    433.7     69.6    157.6    183.4   3.13900   0.39509  41.62190
      11 2023  7  7  0  0 39 563  3.9679    158.74019   1324.87468   1005.30394    -13.89878     15.66631     -1.45676    166.8    172.6     -4.1      6.2    433.7     69.7    157.6    183.4   3.13872   0.39509  41.64258
      12 2023  7  7  0  0 43 537  3.9741    158.52103   1324.89239   1005.39415    -15.53975     16.02642     -1.55753    166.8    172.6     -4.1      6.2    433.7     69.9    157.6    183.4   3.13843   0.39509  41.64180
      13 2023  7  7  0  0 47 519  3.9820    158.36207   1324.91302   1005.48498    -16.33508     17.92389     -1.64063    166.8    172.6     -4.2      6.2    433.7     70.0    157.6    183.4   3.13814   0.39509  41.65456
      14 2023  7  7  0  0 51 517  3.9986    158.35996   1324.93595   1005.57631    -17.95279     19.48740     -1.74123    166.8    172.6     -4.2      6.2    433.7     70.1    157.6    183.4   3.13785   0.39509  41.64689
      15 2023  7  7  0  0 55 536  4.0185    158.42153   1324.96075   1005.66797    -19.27055     20.60666     -1.86667    166.8    172.6     -4.3      6.2    433.7     70.2    157.6    183.4   3.13755   0.39509  41.65468
      16 2023  7  7  0  0 59 569  4.0334    158.47601   1324.98796   1005.75986    -21.27654     21.82823     -1.99648    166.8    172.6     -4.4      6.2    433.7     70.3    157.6    183.4   3.13726   0.39509  41.64259
      17 2023  7  7  0  1  3 610  4.0408    158.44333   1325.01862   1005.85173    -22.00102     22.70636     -2.10546    166.8    172.6     -4.4      6.1    433.7     70.5    157.6    183.4   3.13697   0.39509  41.64742
      18 2023  7  7  0  1  7 658  4.0477    158.31100   1325.05336   1005.94353    -24.40237     25.02318     -2.19463    166.8    172.6     -4.5      6.1    433.7     70.6    157.6    183.4   3.13667   0.39509  41.63221
      19 2023  7  7  0  1 11 704  4.0465    158.22111   1325.09155   1006.03505    -25.93083     25.60112     -2.28304    166.8    172.6     -4.5      6.1    433.7     70.8    157.6    183.4   3.13638   0.39509  41.63549
      20 2023  7  7  0  1 15 754  4.0498    158.23850   1325.13216   1006.12614    -28.23412     27.38552     -2.38331    166.8    172.6     -4.6      6.0    433.7     70.9    157.6    183.4   3.13608   0.39509  41.61840
      21 2023  7  7  0  1 19 808  4.0539    158.34193   1325.17453   1006.21664    -28.55018     28.41916     -2.48901    166.8    172.6     -4.6      6.0    433.7     71.0    157.6    183.4   3.13579   0.39509  41.62106
      22 2023  7  7  0  1 23 865  4.0570    158.44658   1325.21875   1006.30660    -31.59693     30.13312     -2.58787    166.8    172.6     -4.7      5.9    433.7     71.2    157.6    183.4   3.13549   0.39509  41.60294
      23 2023  7  7  0  1 27 926  4.0616    158.45338   1325.26543   1006.39600    -32.28677     31.77111     -2.67179    166.8    172.6     -4.8      5.9    433.7     71.3    157.6    183.4   3.13520   0.39509  41.60559
      24 2023  7  7  0  1 31 992  4.0655    158.40631   1325.31482   1006.48481    -35.54627     31.38331     -2.74171    166.8    172.6     -4.8      5.9    433.7     71.4    157.6    183.4   3.13490   0.39509  41.58670
      25 2023  7  7  0  1 36  58  4.0661    158.34861   1325.36642   1006.57289    -36.76668     34.52314     -2.80965    166.8    172.6     -4.9      5.8    433.7     71.6    157.6    183.4   3.13461   0.39509  41.58968
      26 2023  7  7  0  1 40 127  4.0687    158.35742   1325.41935   1006.66031    -37.91250     35.01771     -2.88383    166.8    172.6     -4.9      5.8    433.7     71.7    157.6    183.4   3.13431   0.39509  41.57037
      27 2023  7  7  0  1 44 196  4.0695    158.45433   1325.47299   1006.74700    -40.74890     36.88970     -2.96103    166.8    172.6     -5.0      5.8    433.7     71.8    157.6    183.4   3.13402   0.39509  41.57388
      28 2023  7  7  0  1 48 267  4.0711    158.54641   1325.52758   1006.83309    -40.68416     38.89962     -3.02793    166.8    172.6     -5.0      5.7    433.7     72.0    157.6    183.4   3.13372   0.39509  41.55439
      29 2023  7  7  0  1 52 341  4.0733    158.56689   1325.58359   1006.91850    -44.16755     38.41414     -3.07523    166.8    172.6     -5.1      5.7    433.7     72.1    157.6    183.4   3.13342   0.39509  41.55855
      30 2023  7  7  0  1 56 417  4.0761    158.56011   1325.64101   1007.00334    -45.99073     41.12346     -3.10569    166.8    172.6     -5.2      5.6    433.7     72.2    157.6    183.4   3.13313   0.39509  41.53899
      31 2023  7  7  0  2  0 496  4.0789    158.55734   1325.69935   1007.08753    -45.29487     42.52020     -3.12913    166.8    172.6     -5.2      5.6    434.1     72.4    157.6    183.4   3.13283   0.39509  41.54383
      32 2023  7  7  0  2  4 577  4.0814    158.58936   1325.75811   1007.17101    -49.30820     41.60706     -3.15261    166.8    172.6     -5.2      5.6    437.1     72.5    170.8    196.9   3.13253   0.39509  41.52422
      33 2023  7  7  0  2  8 652  4.0746    158.65942   1325.81671   1007.25399    -50.76502     45.54061     -3.17401    166.8    172.6     -5.2      5.6    440.1     72.6    170.8    196.9   3.13224   0.39509  41.52979
      34 2023  7  7  0  2 12 722  4.0699    158.71418   1325.87540   1007.33645    -50.61865     46.63284     -3.18594    166.8    172.6     -5.2      5.6    443.2     72.7    170.8    196.9   3.13194   0.39509  41.50994
      35 2023  7  7  0  2 16 789  4.0671    158.72458   1325.93429   1007.41823    -54.52537     45.38227     -3.18413    166.8    172.6     -5.2      5.5    446.3     72.8    170.8    196.9   3.13165   0.39509  41.51629
      36 2023  7  7  0  2 20 854  4.0653    158.72657   1325.99313   1007.49948    -55.96250     49.25817     -3.16828    166.8    172.6     -5.2      5.5    449.4     72.9    170.8    196.9   3.13135   0.39509  41.49717
      37 2023  7  7  0  2 24 918  4.0640    158.75096   1326.05147   1007.58019    -54.52685     50.49087     -3.14452    166.8    172.6     -5.2      5.5    452.6     73.1    170.8    196.9   3.13105   0.39509  41.50412
      38 2023  7  7  0  2 28 981  4.0628    158.81197   1326.10906   1007.66035    -58.63017     49.69134     -3.11773    166.8    172.6     -5.2      5.5    455.8     73.2    170.8    196.9   3.13076   0.39509  41.48559
      39 2023  7  7  0  2 33  41  4.0607    158.86082   1326.16736   1007.73999    -60.48792     52.91230     -3.08457    166.8    172.6     -5.2      5.5    459.1     73.3    170.8    196.9   3.13046   0.39509  41.49305
      40 2023  7  7  0  2 37  99  4.0579    158.86480   1326.23203   1007.81922    -59.06566     54.52912     -3.03955    166.8    172.6     -5.2      5.5    462.4     73.4    170.8    196.9   3.13017   0.39509  41.47490
      41 2023  7  7  0  2 41 155  4.0554    158.83372   1326.29634   1007.89801    -62.56723     54.03218     -2.98062    166.8    172.6     -5.2      5.5    465.7     73.5    170.8    196.9   3.12987   0.39509  41.48284
      42 2023  7  7  0  2 45 209  4.0544    158.81521   1326.35997   1007.97647    -65.10556     56.07573     -2.90791    166.8    172.6     -5.2      5.4    469.0     73.6    170.8    196.9   3.12958   0.39509  41.46508
      43 2023  7  7  0  2 49 264  4.0549    158.83562   1326.42269   1008.05469    -64.66271     58.48767     -2.82439    166.8    172.6     -5.2      5.4    472.4     73.7    170.8    196.9   3.12928   0.39509  41.47345
      44 2023  7  7  0  2 53 320  4.0556    158.87412   1326.48451   1008.13273    -64.71982     58.72573     -2.73349    166.8    172.6     -5.2      5.4    475.9     73.9    170.8    196.9   3.12899   0.39509  41.45583
      45 2023  7  7  0  2 57 376  4.0564    158.88749   1326.54552   1008.21062    -67.93077     58.73564     -2.63384    166.8    172.6     -5.2      5.4    479.3     74.0    170.8    196.9   3.12869   0.39509  41.46467
      46 2023  7  7  0  3  1 434  4.0580    158.87776   1326.60596   1008.28855    -68.66588     61.89177     -2.52201    166.8    172.6     -5.2      5.4    481.6     74.0    170.8    196.9   3.12840   0.39509  41.44721
      47 2023  7  7  0  3  5 495  4.0607    158.85221   1326.66586   1008.36658    -66.63973     62.50225     -2.39843    166.8    172.6     -5.2      5.4    481.6     74.1    170.8    196.9   3.12810   0.39509  41.45649
      48 2023  7  7  0  3  9 549  4.0548    158.82102   1326.72516   1008.44492    -70.60998     61.85442     -2.26740    166.8    172.6     -5.2      5.4    481.6     74.1    170.8    196.9   3.12781   0.39509  41.43914
      49 2023  7  7  0  3 13 607  4.0574    158.81798   1326.78376   1008.52369    -72.54204     64.70150     -2.13029    166.8    172.6     -5.3      5.4    481.6     74.1    170.8    196.9   3.12751   0.39509  41.44879
      50 2023  7  7  0  3 17 666  4.0592    158.82326   1326.84187   1008.60291    -71.59394     66.46989     -1.98765    166.8    172.6     -5.3      5.4    481.6     74.1    170.8    196.9   3.12722   0.39509  41.43155
      51 2023  7  7  0  3 21 727  4.0607    158.81667   1326.89995   1008.68265    -71.36512     66.94966     -1.84000    166.8    172.6     -5.3      5.4    481.6     74.1    170.8    196.9   3.12692   0.39509  41.44159
      52 2023  7  7  0  3 25 790  4.0630    158.77209   1326.95849   1008.76315    -74.12875     66.75038     -1.68915    166.8    172.6     -5.4      5.4    481.6     74.2    170.8    196.9   3.12663   0.39509  41.42393
      53 2023  7  7  0  3 29 856  4.0664    158.71730   1327.01780   1008.84453    -74.55679     69.43801     -1.53722    166.8    172.6     -5.4      5.4    481.6     74.2    170.8    196.9   3.12633   0.39509  41.43442
      54 2023  7  7  0  3 33 926  4.0696    158.69617   1327.07875   1008.92698    -71.94338     70.47255     -1.38711    166.8    172.6     -5.4      5.4    481.6     74.2    170.8    196.9   3.12604   0.39509  41.41656
      55 2023  7  7  0  3 37 991  4.0654    158.71034   1327.14169   1009.01045    -75.34756     70.27015     -1.24216    166.8    172.6     -5.5      5.4    481.6     74.2    170.8    196.9   3.12574   0.39509  41.42750
      56 2023  7  7  0  3 42  53  4.0617    158.73023   1327.20707   1009.09523    -77.07896     71.75339     -1.10278    166.8    172.6     -5.5      5.4    481.6     74.2    170.8    196.9   3.12544   0.39509  41.40945
      57 2023  7  7  0  3 46 112  4.0588    158.72362   1327.27578   1009.18148    -76.17797     73.33473     -0.96879    166.8    172.6     -5.5      5.4    481.6     74.2    170.8    196.9   3.12515   0.39509  41.42066
      58 2023  7  7  0  3 50 169  4.0570    158.69307   1327.34868   1009.26947    -74.87576     74.44132     -0.84175    166.8    172.6     -5.5      5.4    481.6     74.3    170.8    196.9   3.12485   0.39509  41.40265
      59 2023  7  7  0  3 54 224  4.0557    158.66205   1327.52829   1009.35941    -77.21022     73.37668     -0.72420    166.8    172.6     -5.6      5.4    481.6     74.3    170.8    196.9   3.12456   0.39509  41.41423
      60 2023  7  7  0  3 58 278  4.0542    158.65457   1328.19262   1009.45164    -77.61059     75.60522     -0.61735    166.8    172.6     -5.6      5.4    481.6     74.3    170.8    196.9   3.12426   0.39509  41.39615
