GITM2 log file
## Inputs from UAM.in
# Resart= F
# Eddy coef:    50.000 Eddy P0:     0.010 Eddy P1:     0.005
# Statistical Models Only:  F Apex:  T
# EUV Data:  TFile: 
UA/DataIn/FISM/fismflux_daily_2023.dat                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# AMIE: none           
none                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
# Solar Heating:  T Joule Heating:  T Auroral Heating:  T
# NO Cooling:  T O Cooling:  T
# Conduction:  T Turbulent Conduction:  T
# Pressure Grad:  T Ion Drag:  T Neutral Drag:  T
# Viscosity:  T Coriolis:  T Gravity:  T
# Ion Chemistry:  T Ion Advection:  T Neutral Chemistry:  T
 
#START
   iStep yyyy mm dd hh mm ss  ms      dt min(T) max(T) mean(T) min(VV) max(VV) mean(VV) F107 F107A By Bz Vx HP HPn HPs SubsolarLon SubsolarLat SubsolarVTEC
       2 2023  7  7  0  0  2 445  2.4451    158.58661   1327.03774   1004.57155     -5.14299      7.95104     -0.25212    166.8    172.6     -3.6      6.2    433.7     68.6    158.5    183.3   3.14141   0.39509  41.46278
       3 2023  7  7  0  0  4 488  2.0437    158.74890   1327.03507   1004.60298     -7.95098     12.11906     -0.36644    166.8    172.6     -3.6      6.2    433.7     68.7    158.5    183.3   3.14127   0.39509  41.47225
       4 2023  7  7  0  0  6 531  2.0424    158.94116   1327.04276   1004.63991     -8.84590     13.15504     -0.44383    166.8    172.6     -3.6      6.2    433.7     68.8    158.5    183.3   3.14112   0.39509  41.50000
       5 2023  7  7  0  0  8 572  2.0409    159.10439   1327.04983   1004.67942     -8.00745     11.30331     -0.51883    166.8    172.6     -3.6      6.2    433.7     68.8    158.5    183.3   3.14097   0.39509  41.53218
       6 2023  7  7  0  0 10 611  2.0394    159.19656   1327.05486   1004.72058     -7.00927      9.21911     -0.60392    166.8    172.6     -3.7      6.2    433.7     68.9    158.5    183.3   3.14082   0.39509  41.56373
       7 2023  7  7  0  0 12 649  2.0379    159.18644   1327.05742   1004.76292     -7.53125      9.58194     -0.69462    166.8    172.6     -3.7      6.2    433.7     68.9    158.5    183.3   3.14067   0.39509  41.59388
       8 2023  7  7  0  0 14 685  2.0365    159.12802   1327.05759   1004.80621     -7.83494      9.53540     -0.78159    166.8    172.6     -3.7      6.2    433.7     69.0    158.5    183.3   3.14052   0.39509  41.62121
       9 2023  7  7  0  0 16 720  2.0350    159.03522   1327.05561   1004.85026     -8.75714     10.29320     -0.85948    166.8    172.6     -3.8      6.2    433.7     69.1    158.5    183.3   3.14038   0.39509  41.64623
      10 2023  7  7  0  0 18 754  2.0336    158.88011   1327.05172   1004.89493     -9.23020     10.35167     -0.92536    166.8    172.6     -3.8      6.2    433.7     69.1    158.5    183.3   3.14023   0.39509  41.66823
      11 2023  7  7  0  0 20 786  2.0319    158.69606   1327.04615   1004.94013     -9.25456     10.14726     -0.97871    166.8    172.6     -3.8      6.2    433.7     69.2    158.5    183.3   3.14008   0.39509  41.68792
      12 2023  7  7  0  0 22 817  2.0307    158.53729   1327.03903   1004.98579     -9.40361     11.06271     -1.02420    166.8    172.6     -3.8      6.2    433.7     69.2    158.5    183.3   3.13993   0.39509  41.70494
      13 2023  7  7  0  0 24 847  2.0307    158.44809   1327.03051   1005.03181    -10.23441     11.36538     -1.06909    166.8    172.6     -3.9      6.2    433.7     69.3    158.5    183.3   3.13979   0.39509  41.71986
      14 2023  7  7  0  0 26 878  2.0306    158.42776   1327.02081   1005.07811    -10.65991     12.03175     -1.11760    166.8    172.6     -3.9      6.2    433.7     69.4    158.5    183.3   3.13964   0.39509  41.73247
      15 2023  7  7  0  0 28 908  2.0305    158.43312   1327.01014   1005.12463    -11.25127     12.58123     -1.17120    166.8    172.6     -3.9      6.2    433.7     69.4    158.5    183.3   3.13949   0.39509  41.74341
      16 2023  7  7  0  0 30 939  2.0304    158.44827   1326.99877   1005.17135    -11.91519     12.50784     -1.23178    166.8    172.6     -4.0      6.2    433.7     69.5    158.5    183.3   3.13934   0.39509  41.75232
      17 2023  7  7  0  0 32 969  2.0303    158.46441   1326.98703   1005.21823    -12.21844     13.49848     -1.30022    166.8    172.6     -4.0      6.2    433.7     69.6    158.5    183.3   3.13920   0.39509  41.75989
      18 2023  7  7  0  0 34 999  2.0303    158.47314   1326.97524   1005.26526    -12.23510     14.21110     -1.37559    166.8    172.6     -4.0      6.2    433.7     69.6    158.5    183.3   3.13905   0.39509  41.76574
      19 2023  7  7  0  0 37  29  2.0302    158.46479   1326.96373   1005.31242    -13.21163     14.37855     -1.45252    166.8    172.6     -4.0      6.2    433.7     69.7    158.5    183.3   3.13890   0.39509  41.77053
      20 2023  7  7  0  0 39  60  2.0301    158.40711   1326.95278   1005.35973    -13.81786     15.61936     -1.52406    166.8    172.6     -4.1      6.2    433.7     69.7    158.5    183.3   3.13875   0.39509  41.77396
      21 2023  7  7  0  0 41  90  2.0300    158.30261   1326.94263   1005.40718    -14.43622     16.16344     -1.58585    166.8    172.6     -4.1      6.2    433.7     69.8    158.5    183.3   3.13860   0.39509  41.77651
      22 2023  7  7  0  0 43 119  2.0299    158.17263   1326.93339   1005.45476    -15.45744     16.05658     -1.63826    166.8    172.6     -4.1      6.2    433.7     69.9    158.5    183.3   3.13846   0.39509  41.77794
      23 2023  7  7  0  0 45 149  2.0298    158.05730   1326.92505   1005.50243    -16.11008     17.40276     -1.68530    166.8    172.6     -4.2      6.2    433.7     69.9    158.5    183.3   3.13831   0.39509  41.77871
      24 2023  7  7  0  0 47 179  2.0297    157.98642   1326.91752   1005.55013    -16.36593     18.15132     -1.73174    166.8    172.6     -4.2      6.2    433.7     70.0    158.5    183.3   3.13816   0.39509  41.77856
