GITM2 log file
## Inputs from UAM.in
# Resart= F
# Eddy coef:    50.000 Eddy P0:     0.010 Eddy P1:     0.005
# Statistical Models Only:  F Apex:  T
# EUV Data:  TFile: 
UA/DataIn/FISM/fismflux_daily_2002.dat                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# AMIE: none           
none                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
# Solar Heating:  T Joule Heating:  T Auroral Heating:  T
# NO Cooling:  T O Cooling:  T
# Conduction:  T Turbulent Conduction:  T
# Pressure Grad:  T Ion Drag:  T Neutral Drag:  T
# Viscosity:  T Coriolis:  T Gravity:  T
# Ion Chemistry:  T Ion Advection:  T Neutral Chemistry:  T
 
#START
   iStep yyyy mm dd hh mm ss  ms      dt min(T) max(T) mean(T) min(VV) max(VV) mean(VV) F107 F107A By Bz Vx HP HPn HPs SubsolarLon SubsolarLat SubsolarVTEC
       2 2002 12 21  0  0  4 100  4.1002    157.56283   1316.98420   1012.57544     -9.37364      7.93039     -0.36116    177.9    149.5      6.1     -6.0    531.2     71.9    170.4    179.6   3.14129  -0.40992  58.11934
       3 2002 12 21  0  0  7 688  3.5880    157.50631   1316.85215   1012.68528    -10.51116      8.40383     -0.54387    177.9    149.5      6.2     -6.0    531.0     72.0    170.4    179.6   3.14103  -0.40992  58.01758
       4 2002 12 21  0  0 11 242  3.5546    157.48068   1316.71645   1012.81109     -8.74191      6.07527     -0.66728    177.9    149.5      6.2     -6.0    530.8     72.0    170.4    179.6   3.14078  -0.40992  57.95642
       5 2002 12 21  0  0 14 830  3.5874    157.49270   1316.57595   1012.94686     -9.42457      6.13300     -0.76930    177.9    149.5      6.2     -6.0    530.6     72.0    170.4    179.6   3.14051  -0.40992  57.91699
       6 2002 12 21  0  0 18 439  3.6098    157.53340   1316.43647   1013.09006    -10.93147      6.72756     -0.86092    177.9    149.5      6.3     -6.0    530.3     72.1    170.4    179.6   3.14025  -0.40992  57.87156
       7 2002 12 21  0  0 22  58  3.6184    157.58690   1316.30259   1013.23811    -10.80723      6.80214     -0.95155    177.9    149.5      6.3     -6.0    530.1     72.1    170.4    179.6   3.13999  -0.40992  57.83641
       8 2002 12 21  0  0 25 677  3.6194    157.61077   1316.17730   1013.38970    -12.39327      7.30294     -1.04484    177.9    149.5      6.3     -6.0    529.9     72.2    170.4    179.6   3.13973  -0.40992  57.79101
       9 2002 12 21  0  0 29 275  3.5979    157.60973   1316.06408   1013.54288    -13.55062      8.27453     -1.13049    177.9    149.5      6.4     -6.0    529.6     72.2    170.4    179.6   3.13946  -0.40992  57.75586
      10 2002 12 21  0  0 32 848  3.5731    157.60751   1315.96265   1013.69720    -14.44031      8.72376     -1.20921    177.9    149.5      6.4     -6.0    529.4     72.3    170.4    179.6   3.13920  -0.40992  57.71036
      11 2002 12 21  0  0 36 406  3.5580    157.62480   1315.87202   1013.85258    -15.45625      9.44654     -1.27933    177.9    149.5      6.4     -6.0    529.2     72.3    170.4    179.6   3.13895  -0.40992  57.67510
      12 2002 12 21  0  0 39 947  3.5408    157.67192   1315.79265   1014.00868    -16.53796     10.71648     -1.34347    177.9    149.5      6.5     -6.0    528.9     72.3    170.4    179.6   3.13869  -0.40992  57.62992
      13 2002 12 21  0  0 43 479  3.5318    157.72672   1315.72325   1014.16533    -18.51090     11.07876     -1.41479    177.9    149.5      6.5     -6.0    528.7     72.4    170.4    179.6   3.13843  -0.40992  57.59478
      14 2002 12 21  0  0 47  14  3.5355    157.75651   1315.66392   1014.32279    -19.05369     12.26118     -1.49409    177.9    149.5      6.5     -6.0    528.5     72.4    170.4    179.6   3.13817  -0.40992  57.54971
      15 2002 12 21  0  0 50 562  3.5473    157.75582   1315.61227   1014.48109    -21.00034     13.39370     -1.56996    177.9    149.5      6.5     -6.0    528.3     72.5    170.4    179.6   3.13792  -0.40992  57.51429
      16 2002 12 21  0  0 54 123  3.5617    157.74961   1316.28413   1014.64032    -22.40934     14.13626     -1.63598    177.9    149.5      6.6     -6.0    528.0     72.5    170.4    179.6   3.13766  -0.40992  57.46889
      17 2002 12 21  0  0 57 697  3.5735    157.74923   1316.99907   1014.80013    -24.54940     15.20735     -1.69231    177.9    149.5      6.6     -6.0    527.8     72.5    170.4    179.6   3.13740  -0.40992  57.43327
      18 2002 12 21  0  1  1 277  3.5798    157.77083   1317.70630   1014.96028    -24.93811     15.87523     -1.74633    177.9    149.5      6.6     -6.0    527.7     72.6    170.4    179.6   3.13714  -0.40992  57.38758
      19 2002 12 21  0  1  4 861  3.5838    157.80521   1318.40526   1015.12031    -27.64431     17.32031     -1.80828    177.9    149.5      6.6     -6.0    527.8     72.5    170.4    179.6   3.13688  -0.40992  57.35210
      20 2002 12 21  0  1  8 449  3.5883    157.82520   1319.10106   1015.28025    -28.69327     18.01029     -1.87750    177.9    149.5      6.6     -6.0    527.9     72.5    170.4    179.6   3.13661  -0.40992  57.30629
      21 2002 12 21  0  1 12  45  3.5966    157.82316   1319.79057   1015.43992    -31.75808     19.04540     -1.94656    177.9    149.5      6.6     -6.0    528.0     72.4    170.4    179.6   3.13635  -0.40992  57.27105
      22 2002 12 21  0  1 15 651  3.6058    157.80789   1320.47475   1015.59938    -32.92838     20.26350     -2.00872    177.9    149.5      6.6     -6.0    528.1     72.4    170.4    179.6   3.13609  -0.40992  57.22513
      23 2002 12 21  0  1 19 265  3.6140    157.79224   1321.15412   1015.75838    -34.41353     20.32603     -2.06162    177.9    149.5      6.6     -6.1    528.3     72.4    170.4    179.6   3.13583  -0.40992  57.19025
      24 2002 12 21  0  1 22 885  3.6199    157.78980   1321.82846   1015.91684    -37.08116     22.30533     -2.11559    177.9    149.5      6.6     -6.1    528.4     72.3    170.4    179.6   3.13557  -0.40992  57.14424
      25 2002 12 21  0  1 26 509  3.6239    157.80106   1322.49726   1016.07436    -37.46553     22.32536     -2.17181    177.9    149.5      6.5     -6.1    528.5     72.3    170.4    179.6   3.13530  -0.40992  57.10992
      26 2002 12 21  0  1 30 137  3.6278    157.81163   1323.16041   1016.23086    -41.07607     24.12735     -2.22752    177.9    149.5      6.5     -6.1    528.6     72.2    170.4    179.6   3.13504  -0.40992  57.06396
      27 2002 12 21  0  1 33 769  3.6326    157.80780   1323.81839   1016.38612    -42.36814     25.43398     -2.28449    177.9    149.5      6.5     -6.1    528.7     72.2    170.4    179.6   3.13477  -0.40992  57.03032
      28 2002 12 21  0  1 37 408  3.6384    157.78634   1324.47189   1016.54022    -42.83671     24.75521     -2.34075    177.9    149.5      6.5     -6.1    528.8     72.2    170.4    179.6   3.13451  -0.40992  56.98435
      29 2002 12 21  0  1 41  52  3.6446    157.76067   1325.12142   1016.69300    -46.42091     27.02495     -2.39422    177.9    149.5      6.5     -6.1    528.9     72.1    170.4    179.6   3.13424  -0.40992  56.95136
      30 2002 12 21  0  1 44 703  3.6506    157.74740   1325.76699   1016.84454    -47.30146     27.99654     -2.44407    177.9    149.5      6.5     -6.1    529.0     72.1    170.4    179.6   3.13398  -0.40992  56.90538
      31 2002 12 21  0  1 48 359  3.6556    157.74729   1326.40820   1016.99453    -48.98593     27.79077     -2.49074    177.9    149.5      6.5     -6.1    529.1     72.0    170.4    179.6   3.13371  -0.40992  56.87311
      32 2002 12 21  0  1 52  18  3.6594    157.74737   1327.04450   1017.14290    -52.28768     30.49539     -2.53520    177.9    149.5      6.5     -6.1    529.3     72.0    170.4    179.6   3.13345  -0.40992  56.82713
      33 2002 12 21  0  1 55 680  3.6621    157.73582   1327.67566   1017.28941    -52.69344     31.44223     -2.57795    177.9    149.5      6.5     -6.1    529.4     72.0    170.4    179.6   3.13318  -0.40992  56.79563
      34 2002 12 21  0  1 59 345  3.6646    157.71379   1328.30203   1017.43411    -53.41864     30.44398     -2.61847    177.9    149.5      6.4     -6.1    529.5     71.9    170.4    179.6   3.13291  -0.40992  56.74966
      35 2002 12 21  0  2  3  12  3.6672    157.69390   1328.92402   1017.57688    -57.26023     33.01780     -2.65517    177.9    149.5      6.4     -6.1    529.5     72.0    170.4    179.6   3.13265  -0.40992  56.71889
      36 2002 12 21  0  2  6 681  3.6696    157.68578   1329.54167   1017.71777    -58.19732     34.29126     -2.68768    177.9    149.5      6.4     -6.2    529.5     72.1    174.9    181.5   3.13238  -0.40992  56.67277
      37 2002 12 21  0  2 10 352  3.6705    157.68608   1330.15300   1017.85668    -58.14484     33.60019     -2.71665    177.9    149.5      6.4     -6.2    529.6     72.2    174.9    181.5   3.13211  -0.40992  56.64290
